id,users_id,student_id,department,school_year,semester,branch,year_level,program,classified_as,last_school_attended,last_school_address,status,created_at,updated_at,deleted_at
,1,C00-0001,SHS,2021-2022,1st,Uno,grade 11,IA,new student,TE King Mining Inc.,"Block 11 Lot 38 47th Drive Extension, Foster Cove 5, Makati, 1489 Metro Manila",onhold,33:38.0,33:38.0,
,2,C00-0001,SHS,2021-2022,2nd,Uno,grade 11,IA,old student,,,enrolled,33:38.0,33:38.0,
,3,C00-0001,SHS,2022-2023,1st,Uno,grade 12,IA,old student,,,cancelled,33:38.0,33:38.0,
,4,C00-0002,College,2022-2023,1st,Main,1st year,BTVTED,new student,Roberson Shipping Corporation,"1888 Canopus Road, Fuentes Estates Phase 8, Sarrat, 5754 Eastern Samar",enrolled,33:38.0,33:38.0,
,5,C00-0002,College,2022-2023,2nd,Main,1st year,BTVTED,old student,,,onhold,33:38.0,33:38.0,
,6,C00-0002,College,2023-2024,1st,Main,2nd year,BTVTED,old student,,,enrolled,33:38.0,33:38.0,
,7,C00-0002,College,2023-2024,2nd,Main,2nd year,BTVTED,old student,,,approved,33:38.0,33:38.0,
,8,C00-0002,College,2024-2025,1st,Main,3rd year,BTVTED,old student,,,onhold,33:38.0,33:38.0,
,9,C00-0002,College,2024-2025,2nd,Main,3rd year,BTVTED,old student,,,failed,33:38.0,33:38.0,
,10,C00-0003,College,2022-2023,1st,Main,1st year,BSCRIM,new student,Holmes Silver Properties Limited,"6733 Banahaw Drive, Gloriosa Estates Phase 4, Taguig, 1841 Metro Manila",enrolled,33:38.0,33:38.0,
,11,C00-0003,College,2022-2023,2nd,Main,1st year,BSCRIM,old student,,,enrolled,33:38.0,33:38.0,
,12,C00-0003,College,2023-2024,1st,Main,2nd year,BSCRIM,old student,,,enrolled,33:38.0,33:38.0,
,13,C00-0003,College,2023-2024,2nd,Main,2nd year,BSCRIM,old student,,,approved,33:38.0,33:38.0,
,14,C00-0003,College,2024-2025,1st,Main,3rd year,BSCRIM,old student,,,transferred,33:38.0,33:38.0,
,15,C00-0003,College,2024-2025,2nd,Main,3rd year,BSCRIM,old student,,,completed,33:38.0,33:38.0,
